date,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,AQI
2018-01-01,84.490,118.655,45.768,25.078,1.109,45.456,24.186,74.814,4.989,86.995
2018-01-02,79.927,120.563,35.639,20.937,1.592,30.878,28.449,64.998,1.471,83.260
2018-01-03,86.730,122.724,63.418,20.262,1.028,36.987,22.263,40.510,5.918,92.866
2018-01-04,94.248,124.930,32.045,23.899,1.729,30.302,25.672,50.430,5.002,91.012
2018-01-05,80.706,121.846,32.628,18.124,1.645,22.735,28.368,49.066,4.302,83.432
2018-01-06,81.220,125.756,35.477,27.843,1.059,40.337,29.016,45.681,5.700,85.432
2018-01-07,96.240,139.988,41.945,16.060,1.049,25.645,27.584,50.588,3.830,98.506
2018-01-08,90.258,134.659,36.238,23.285,0.896,40.749,25.193,60.891,4.429,92.774
2018-01-09,80.873,134.092,44.899,27.169,1.011,39.090,29.233,81.292,3.488,89.644
2018-01-10,89.479,121.440,32.171,13.114,0.830,34.298,24.705,74.522,5.880,87.606
2018-01-11,81.939,117.696,28.947,18.283,1.329,42.803,32.136,80.115,7.075,82.068
2018-01-12,82.427,136.732,25.614,25.711,0.763,45.626,26.797,83.016,6.806,87.356
2018-01-13,88.593,136.528,22.211,25.786,1.381,28.773,22.600,54.969,6.395,89.697
2018-01-14,71.854,143.080,35.855,19.143,1.388,24.338,23.803,50.762,0.603,86.022
2018-01-15,73.861,122.898,37.592,16.327,0.702,16.950,27.684,33.457,7.339,81.318
2018-01-16,83.660,127.223,34.949,24.780,1.665,45.713,28.139,85.829,2.562,86.987
2018-01-17,80.552,113.702,49.947,25.918,1.354,26.922,33.794,33.949,7.160,84.376
2018-01-18,91.662,126.748,49.824,14.177,1.425,37.945,24.934,74.468,1.977,93.820
2018-01-19,82.374,141.210,37.322,13.980,0.972,24.811,28.331,52.686,3.797,91.014
2018-01-20,78.827,127.148,25.649,21.126,1.387,40.768,25.197,86.927,6.120,82.688
2018-01-21,102.335,138.783,35.466,23.147,1.538,25.099,27.059,55.176,5.302,99.896
2018-01-22,89.286,131.035,35.201,18.505,1.170,21.658,33.749,78.997,3.619,90.994
2018-01-23,92.110,136.739,34.743,23.396,1.801,28.540,25.448,46.959,5.590,94.025
2018-01-24,80.647,122.575,34.418,16.449,1.213,26.278,30.776,47.945,4.617,83.980
2018-01-25,88.161,135.454,34.772,9.427,1.542,34.174,30.351,65.731,2.568,91.671
2018-01-26,93.871,105.236,36.908,17.880,1.288,29.640,29.255,89.879,5.347,85.888
2018-01-27,84.239,133.819,34.916,20.316,1.376,34.394,31.041,61.054,2.032,89.248
